albert-base-v2
models.alexnet
bert-base-uncased
camembert-base
dbmdz/convbert-base-turkish-cased
microsoft/deberta-base
distilbert-base-uncased
google/electra-small-discriminator
funnel-transformer/small
microsoft/layoutlm-base-uncased
allenai/longformer-base-4096
microsoft/MiniLM-L12-H384-uncased
google/mobilebert-uncased
microsoft/mpnet-base
google/rembert
models.resnet101
models.resnet18
models.resnet50
roberta-base
models.squeezenet1_0
google/tapas-base
hf-internal-testing/tiny-random-flaubert
models.wide_resnet50_2
xlm-roberta-base
